gM,rbM,rI,gI,bI
9,19,1074,1527,629
9,20,1027,1506,573
8,16,1106,1462,586
9,19,955,1369,574
11,21,1019,1414,513
8,18,983,1441,554
10,17,1054,1337,533
9,22,971,1530,570
11,20,1009,1325,575
9,18,1048,1461,584
12,23,1022,1439,526
8,17,1040,1394,604
10,22,1025,1505,557
8,17,1000,1343,561
8,15,1060,1351,562
8,16,995,1343,489
10,20,984,1383,540
9,18,1087,1430,567
11,23,1037,1533,534
10,18,1079,1403,580
10,20,1052,1437,576
8,15,1095,1419,544
10,20,986,1411,507
9,18,1058,1449,572
8,17,997,1383,565
9,19,994,1382,621
9,17,1017,1310,567
12,23,989,1344,547
10,22,947,1375,554
11,19,1041,1317,526
10,17,1133,1467,570
9,18,1039,1490,570
11,23,980,1401,524
8,15,1099,1448,604
10,18,1043,1364,592
9,18,974,1368,535
8,15,1149,1510,500
11,23,1007,1468,581
9,17,1036,1372,541
12,22,1143,1518,546
10,20,1037,1431,556
8,16,1042,1453,556
9,18,1071,1461,598
10,21,1023,1420,532
11,22,1035,1484,526
10,20,1076,1488,615
11,23,1004,1509,548
8,17,993,1451,610
9,19,939,1309,534
9,19,1008,1481,587
10,20,995,1385,566
9,17,1063,1450,525
8,15,1080,1494,541
9,19,1038,1456,564
8,15,1015,1391,557
11,21,1058,1482,555
9,18,1044,1490,552
11,20,1053,1439,531
10,22,1029,1506,541
9,19,977,1351,558
8,16,1032,1371,627
9,19,1025,1437,533
10,21,987,1443,501
10,22,982,1397,586
9,18,1092,1510,592
11,22,1104,1572,533
9,20,972,1437,553
10,19,1070,1468,623
10,21,1005,1459,554
11,21,1073,1515,576
10,19,1016,1342,587
8,16,930,1314,516
11,22,1080,1561,547
11,22,938,1310,547
9,20,1000,1492,593
9,20,966,1401,507
9,17,1069,1416,567
9,19,1015,1443,585
8,15,1098,1416,517
10,19,1120,1495,618
10,20,986,1419,596
12,23,1040,1420,535
9,18,988,1407,548
9,20,960,1421,589
11,22,1070,1485,590
10,21,997,1438,522
10,19,979,1331,491
10,20,1051,1502,576
9,18,1021,1441,560
9,18,1087,1462,600
8,15,1008,1305,554
10,21,1032,1466,528
9,17,999,1358,559
8,17,982,1445,556
8,16,1082,1436,588
10,20,1013,1411,554
12,23,1073,1478,606
9,18,1056,1451,594
10,19,1015,1392,582
9,17,1048,1401,561
9,16,1064,1417,533
9,17,1088,1413,549
8,17,995,1372,541
11,22,1021,1393,531
8,15,1104,1479,606
10,21,995,1394,549
10,19,994,1315,531
8,17,1008,1413,601
9,16,1108,1368,560
8,15,1019,1319,553
9,16,1082,1362,495
8,17,977,1349,550
9,20,1053,1529,581
10,21,1063,1493,531
8,17,1023,1378,591
11,21,1111,1520,557
9,16,1046,1400,537
10,18,1011,1318,535
11,20,1081,1367,601
11,21,1024,1398,596
10,20,1041,1467,505
9,20,976,1436,531
8,16,1052,1391,564
9,17,1051,1374,536
9,19,1065,1475,596
10,20,985,1408,499
10,20,950,1369,543
11,22,1032,1424,542
12,23,1041,1468,521
10,21,1081,1550,581
10,20,1036,1477,548
10,23,1013,1565,558
11,23,1068,1524,570
9,17,1067,1451,585
9,19,960,1305,560
10,19,1127,1489,599
9,18,984,1327,553
9,16,1098,1464,517
