gM,rbM,rI,gI,bI
5,4,3692,3763,3657
4,3,3693,3696,3661
6,5,3797,3809,3786
4,4,3758,3721,3709
4,5,3767,3691,3769
4,3,3683,3682,3695
4,5,3773,3705,3795
5,5,3768,3776,3821
4,4,3659,3718,3672
4,4,3741,3714,3803
3,3,3700,3655,3660
3,4,3706,3645,3750
5,5,3745,3799,3748
4,4,3739,3710,3748
6,5,3744,3808,3843
4,4,3701,3718,3740
4,4,3701,3724,3711
5,5,3789,3769,3868
3,3,3685,3657,3720
4,4,3692,3718,3699
4,4,3769,3717,3754
4,3,3692,3687,3683
4,3,3698,3687,3692
4,4,3699,3684,3712
4,3,3720,3727,3677
3,3,3688,3657,3722
4,3,3671,3705,3732
5,4,3732,3735,3814
3,3,3698,3637,3683
5,4,3719,3751,3751
3,4,3712,3645,3705
4,4,3727,3691,3766
4,4,3725,3692,3706
4,3,3629,3698,3709
4,3,3664,3711,3702
4,3,3654,3687,3699
5,5,3757,3759,3847
4,4,3738,3706,3741
4,4,3637,3724,3663
4,4,3688,3726,3674
5,4,3741,3772,3707
5,5,3781,3791,3872
4,4,3737,3721,3733
4,3,3697,3692,3667
4,4,3701,3717,3725
4,4,3727,3724,3646
3,4,3744,3670,3765
4,3,3730,3691,3658
5,4,3715,3741,3762
4,4,3706,3687,3721
3,3,3671,3658,3674
4,4,3772,3728,3755
4,4,3736,3711,3787
4,3,3642,3690,3768
4,4,3723,3709,3732
4,4,3773,3716,3760
5,4,3737,3762,3769
4,4,3712,3680,3754
5,5,3771,3792,3831
3,3,3681,3641,3708
4,4,3652,3712,3661
5,5,3895,3782,3797
4,4,3781,3726,3712
4,4,3724,3688,3740
4,3,3638,3699,3648
4,4,3784,3710,3732
4,4,3726,3717,3797
4,3,3640,3691,3699
5,4,3678,3768,3789
4,3,3654,3692,3700
4,5,3750,3692,3767
5,4,3744,3765,3816
5,4,3701,3746,3698
4,3,3669,3718,3738
4,3,3716,3682,3676
4,3,3667,3692,3657
4,3,3682,3690,3692
4,4,3692,3740,3713
3,3,3685,3632,3681
3,3,3663,3670,3684
4,3,3689,3697,3727
5,4,3718,3742,3781
4,3,3695,3706,3678
4,4,3729,3695,3830
4,4,3734,3694,3769
5,5,3762,3735,3781
4,3,3676,3721,3736
5,4,3737,3742,3765
5,5,3793,3797,3841
4,3,3742,3689,3674
5,5,3763,3761,3769
