gM,rbM,rI,gI,bI
5,3,74,44,70
4,5,38,56,56
6,6,32,36,35
6,5,47,36,45
2,2,97,118,103
3,4,62,82,55
2,2,88,91,92
5,2,63,44,84
1,2,110,132,123
6,4,44,35,61
6,5,36,39,43
4,2,73,59,101
2,2,78,117,97
7,6,34,31,35
2,2,84,113,103
4,3,58,52,68
3,4,44,65,52
6,5,34,35,48
3,3,55,67,64
3,3,64,63,67
4,3,61,54,67
3,3,70,80,75
1,2,103,128,116
5,5,44,46,43
4,4,45,53,51
7,6,34,30,31
4,4,44,52,62
3,4,62,66,62
5,5,45,45,44
3,2,82,69,93
1,2,115,135,127
6,5,37,38,56
2,2,96,90,111
2,2,83,88,87
3,3,70,67,69
1,1,114,142,139
2,2,98,109,105
2,2,74,120,111
4,3,56,54,89
4,4,58,56,54
3,3,58,77,63
5,4,58,48,54
2,2,74,94,89
2,2,83,88,91
5,3,61,44,80
6,4,45,34,51
3,4,57,65,60
2,2,83,123,109
3,2,108,83,104
2,2,105,109,111
6,4,41,37,70
2,2,94,109,101
2,2,84,112,105
4,4,41,54,51
2,2,94,100,118
8,5,35,25,49
2,2,94,112,105
4,4,48,55,54
5,5,38,42,59
3,3,69,80,72
4,5,47,49,47
5,4,49,46,52
2,2,104,113,110
4,5,35,50,47
4,4,42,52,54
2,2,83,122,100
3,3,64,70,57
5,5,36,45,43
6,4,50,35,43
2,2,90,116,108
3,3,61,75,73
1,1,104,141,146
5,3,63,42,61
3,3,62,72,67
3,3,56,76,90
5,5,48,45,45
4,5,43,49,48
2,2,97,110,106
3,2,85,66,78
2,2,82,103,98
6,4,39,34,66
3,3,72,78,73
3,2,65,73,91
4,4,59,57,55
1,2,85,134,111
1,1,110,135,143
5,5,46,48,48
4,3,61,59,94
5,5,40,42,45
5,5,45,46,48
5,6,31,43,41
3,3,72,73,69
2,2,81,101,110
2,3,82,88,82
3,2,77,74,98
5,5,42,42,40
3,4,55,68,61
2,3,81,87,81
2,2,103,121,111
3,2,79,65,104
6,3,46,39,92
4,2,68,60,85
2,2,92,101,91
