gM,rbM,rI,gI,bI
8,12,14,30,30
19,35,2,5,4
13,21,2,4,4
21,44,3,10,7
8,21,8,30,16
5,16,9,42,31
9,13,22,26,13
20,45,1,6,4
10,18,9,22,19
10,21,10,23,11
8,11,17,29,24
15,28,8,14,7
7,12,18,34,20
15,44,3,14,10
13,33,2,6,3
21,43,2,8,6
16,26,5,14,15
20,26,8,10,6
23,42,3,6,3
11,29,2,5,4
18,28,3,6,5
10,24,2,4,3
21,32,5,9,7
7,22,7,33,20
16,36,4,13,10
22,45,2,7,5
21,30,7,10,5
8,14,21,30,13
23,35,3,6,4
9,35,4,24,15
15,22,9,14,10
7,21,2,5,3
17,46,1,5,3
18,26,1,5,4
14,32,5,15,10
6,22,7,36,21
8,18,11,28,15
13,28,2,4,3
21,39,2,5,3
22,33,3,6,3
5,19,9,42,20
7,11,16,34,32
17,42,2,5,3
16,25,2,5,4
19,31,2,7,5
23,21,8,9,5
15,20,7,15,19
7,20,9,34,15
9,25,2,6,3
7,14,14,34,18
8,17,12,27,15
16,43,1,5,3
15,29,5,15,12
13,20,2,6,5
11,19,1,5,4
10,25,2,5,3
22,34,2,6,4
23,38,2,6,5
12,36,2,6,4
23,26,2,6,6
18,39,2,5,4
5,11,14,47,34
17,25,8,13,9
8,24,8,27,11
8,15,2,4,4
6,17,1,5,3
24,19,2,6,7
14,37,2,5,3
6,20,8,36,19
8,14,1,5,4
7,17,10,33,20
22,37,3,6,4
17,25,2,5,5
7,20,9,32,15
14,36,4,16,10
20,27,2,5,4
14,18,2,6,5
12,30,2,5,4
19,34,3,7,5
14,23,9,15,9
14,38,2,5,3
15,24,9,14,9
14,35,5,16,8
15,40,1,5,3
14,46,1,6,3
11,17,12,21,14
6,12,22,36,16
12,37,4,19,11
13,16,9,17,21
9,16,10,24,21
17,26,3,6,5
20,23,10,11,6
23,28,3,9,11
14,27,1,6,4
7,11,15,34,29
20,34,1,5,4
19,40,2,6,4
13,27,1,4,3
21,38,2,6,5
8,12,22,30,16
12,26,8,19,9
14,19,2,4,4
23,32,5,8,4
7,13,2,5,3
12,19,12,18,11
20,36,2,6,5
18,34,2,6,4
20,43,2,5,4
5,19,1,5,3
5,11,22,45,19
10,23,1,5,3
7,14,15,34,18
21,26,4,10,13
18,36,4,11,8
12,37,1,6,3
17,27,8,12,7
14,36,4,16,11
11,34,4,20,14
12,22,3,5,4
18,43,1,5,4
24,23,6,8,4
12,43,1,4,3
12,31,1,5,4
10,43,1,5,3
19,44,3,10,7
11,19,2,4,4
18,45,3,12,8
8,23,7,27,16
15,23,2,6,4
22,46,2,8,5
6,21,1,5,3
19,44,1,5,4
23,30,4,6,4
13,40,2,6,3
9,24,6,26,19
20,31,2,6,5
17,27,5,13,14
14,35,4,16,11
8,21,7,30,23
6,18,9,40,22
9,27,1,4,3
15,26,2,6,4
22,29,4,7,4
5,15,12,46,20
20,16,2,6,6
13,32,1,4,3
19,41,2,6,4
21,21,2,6,5
20,40,2,7,4
15,28,2,4,3
20,33,2,7,5
21,25,5,10,12
8,26,6,28,17
21,36,2,5,4
19,29,3,5,3
10,26,7,22,11
7,26,6,30,16
23,38,3,8,7
9,17,10,25,18
13,21,7,17,18
6,15,13,38,18
19,22,2,5,5
5,14,12,44,24
21,38,3,7,5
21,31,3,5,3
22,24,7,9,5
5,16,11,44,20
7,19,1,4,3
17,43,2,6,3
8,17,11,27,16
11,19,13,21,10
7,26,1,4,3
15,19,2,6,5
23,39,3,7,5
16,45,3,13,9
8,31,1,5,3
21,37,3,7,5
22,35,2,6,4
19,34,2,6,4
22,43,3,7,5
11,19,12,20,11
9,32,1,6,3
9,22,7,26,18
13,31,2,5,4
12,40,4,19,9
8,17,2,5,3
20,30,2,6,4
8,12,2,4,3
10,14,19,23,13
8,21,8,29,18
5,18,9,43,21
22,46,2,6,4
19,45,3,10,6
8,18,9,30,19
9,21,9,25,13
6,13,12,39,34
11,45,1,5,3
12,44,1,6,3
7,21,9,32,14
7,11,2,4,4
9,18,1,5,4
18,20,12,12,8
18,30,2,6,5
6,17,11,35,16
15,27,7,14,9
6,15,13,40,19
23,41,4,8,4
13,19,13,17,9
20,30,7,10,6
5,13,14,43,21
9,16,13,26,14
16,36,5,13,7
14,42,2,6,3
10,16,1,4,4
6,23,7,36,18
7,17,9,32,24
16,34,4,14,11
10,30,1,5,4
22,34,3,7,6
20,36,3,6,3
18,25,10,12,6
9,22,2,5,3
19,22,2,5,4
12,32,6,19,8
20,36,4,10,8
20,29,4,11,13
5,14,13,45,24
23,34,5,8,4
14,29,1,6,4
24,45,2,5,3
21,38,5,9,4
11,33,4,20,15
10,28,1,4,3
16,37,2,6,3
23,31,6,8,5
21,46,3,9,6
8,22,2,5,3
12,19,1,4,4
8,22,1,4,3
7,13,17,32,16
24,31,2,5,5
8,21,7,27,21
5,16,11,43,19
21,40,4,9,5
23,35,5,8,5
20,43,3,10,8
19,27,8,11,7
14,27,1,5,4
17,30,3,6,3
19,38,4,10,7
17,31,7,12,6
10,26,2,5,4
23,30,2,6,5
6,21,7,39,25
19,28,2,5,5
13,39,1,6,4
18,43,2,7,4
15,25,6,15,13
11,24,8,20,11
17,21,12,13,7
7,23,6,32,26
11,23,8,21,12
19,35,2,6,4
7,22,7,31,19
11,22,1,4,4
5,15,2,5,3
14,24,7,16,12
9,18,2,4,3
19,39,2,6,5
21,45,2,7,4
9,29,5,26,17
8,26,2,5,3
22,42,3,7,4
14,39,1,5,3
7,23,7,31,17
16,46,1,5,3
15,35,1,5,3
15,36,2,6,4
16,27,2,5,4
13,27,7,17,10
24,33,2,6,6
21,25,5,10,13
10,14,16,23,16
9,32,1,6,4
24,43,2,6,4
17,35,1,6,4
21,44,3,7,4
13,24,9,17,9
12,23,3,6,4
11,29,2,5,3
22,32,6,9,5
6,14,12,36,23
23,16,2,6,6
15,36,1,4,3
9,28,1,4,3
8,24,6,30,20
11,31,1,5,3
23,30,5,8,5
8,20,2,5,4
6,12,14,35,25
10,19,11,22,12
6,11,17,38,25
17,22,12,13,6
22,26,2,6,5
23,36,4,7,4
20,25,5,11,13
