gM,rbM,rI,gI,bI
4,4,43,54,50
4,5,42,50,49
2,2,85,99,96
2,3,67,84,81
6,6,33,35,41
7,6,30,32,35
8,6,29,25,40
3,4,55,64,60
3,3,77,69,74
4,4,59,58,56
3,4,52,63,60
5,5,42,42,40
3,2,92,65,80
5,5,45,41,42
2,2,104,90,125
2,2,80,99,95
4,5,51,51,33
4,3,56,59,70
2,3,80,92,75
7,4,47,32,53
2,2,105,119,100
2,2,95,87,112
6,6,38,37,37
1,2,80,134,132
3,4,54,67,60
3,3,71,81,76
4,4,56,54,53
3,3,69,77,72
8,6,33,27,36
4,4,42,52,50
5,3,58,49,73
2,2,93,104,122
2,2,96,89,116
4,5,42,56,48
2,1,100,109,145
5,5,44,41,44
2,2,104,120,113
4,2,70,53,93
5,4,50,43,51
4,4,41,51,50
5,4,44,42,51
3,2,89,73,125
3,3,73,82,80
1,2,75,130,124
5,3,72,47,73
2,2,86,102,94
4,5,38,53,49
3,4,62,67,62
3,3,69,76,72
1,2,109,138,121
3,3,61,67,64
2,3,56,85,78
3,2,85,83,111
3,3,70,73,70
4,5,42,59,49
4,4,42,60,54
7,4,67,33,47
2,2,93,99,99
2,2,98,112,105
5,6,33,44,46
2,2,102,125,110
5,4,40,47,53
3,2,95,72,104
4,5,44,52,44
3,3,64,80,78
3,3,64,80,73
2,1,117,106,139
2,3,62,88,66
4,5,46,52,40
2,2,79,96,89
4,2,76,59,93
3,3,62,75,69
4,4,57,56,55
2,2,104,121,113
5,5,35,41,44
5,5,39,43,43
3,3,68,73,67
2,2,77,90,85
4,4,48,52,51
2,3,75,89,83
2,2,80,94,86
5,4,55,48,49
6,4,45,34,64
4,2,66,60,90
2,2,103,123,114
7,6,37,30,33
4,2,81,50,84
6,4,34,37,71
5,5,34,43,47
3,3,69,73,68
3,3,67,72,69
3,3,56,70,66
7,6,33,30,39
2,2,101,103,107
4,5,39,50,47
2,1,123,125,142
2,1,128,126,138
6,6,33,38,38
1,2,92,129,118
2,2,109,120,124
3,3,57,68,66
6,5,44,40,49
5,5,45,46,44
5,4,48,47,50
3,3,69,66,71
7,6,37,30,38
6,4,41,37,70
2,2,88,91,115
1,2,109,141,124
2,2,96,98,101
6,6,35,37,38
4,5,47,51,47
3,3,60,80,69
2,2,89,107,101
6,6,33,40,39
5,4,51,49,48
2,2,75,93,90
4,5,43,55,49
7,6,37,32,38
7,6,32,30,37
6,5,45,38,39
8,5,39,28,50
2,2,102,120,108
2,2,101,113,105
4,4,42,55,51
2,2,95,116,109
2,2,89,106,98
5,4,53,49,56
8,6,32,27,46
5,4,41,43,54
4,4,59,54,59
5,5,36,44,46
5,3,55,48,66
4,5,40,53,51
3,2,81,68,90
6,4,51,38,53
5,5,47,45,44
5,3,52,49,81
6,6,36,36,40
4,5,45,51,37
3,3,58,71,69
5,5,41,45,44
2,1,102,94,134
6,6,39,36,37
3,2,83,78,108
6,5,42,39,40
2,2,85,99,95
5,5,38,41,53
4,4,52,61,58
6,5,39,39,43
4,5,40,58,54
3,3,67,73,71
6,5,37,38,44
6,5,41,40,42
2,2,99,117,113
3,3,77,73,76
1,1,121,134,150
3,4,56,66,51
4,5,41,49,48
1,1,128,147,141
2,1,101,120,133
2,2,114,114,116
5,5,39,48,47
6,6,37,37,38
6,5,36,38,43
7,6,30,33,34
4,3,62,54,64
1,1,113,146,151
4,2,78,59,94
5,3,56,48,87
5,4,44,44,51
2,3,64,99,82
2,2,101,122,113
2,2,100,91,124
1,1,128,131,136
4,4,49,60,58
2,2,76,90,85
3,4,54,64,45
2,1,104,103,134
4,4,61,60,62
5,5,37,46,45
2,2,80,95,88
3,2,81,67,90
2,2,95,119,110
2,2,89,107,99
2,1,113,122,128
8,5,34,25,43
5,4,42,47,54
4,3,62,58,61
3,3,76,83,76
4,4,54,55,59
3,4,45,65,63
6,6,33,37,37
4,4,50,58,57
3,3,65,64,65
5,6,34,46,43
1,1,120,137,136
4,3,68,56,68
2,2,95,111,103
3,4,45,64,66
2,2,104,124,117
4,5,46,49,48
6,3,52,36,63
2,2,72,110,95
7,4,52,32,57
2,2,87,94,85
8,5,36,26,46
6,6,31,39,44
5,3,53,44,108
2,2,92,107,103
2,2,108,125,115
8,6,31,26,47
5,5,44,41,43
4,5,48,51,49
4,5,40,60,60
8,5,39,28,43
5,5,41,46,42
2,3,78,90,83
4,4,43,50,58
3,4,49,63,51
6,3,51,38,67
2,2,91,98,124
2,2,91,117,105
2,2,72,90,87
2,2,106,124,113
1,1,110,130,135
6,4,47,34,59
2,2,81,103,85
2,2,83,88,91
4,5,43,49,49
1,1,129,144,151
2,2,82,84,88
4,4,47,56,55
2,2,108,125,116
7,6,32,29,36
6,5,43,37,45
2,3,67,95,73
2,2,92,105,102
2,2,83,97,119
4,4,41,57,57
3,4,44,66,66
7,4,49,30,47
4,5,43,51,49
3,4,59,63,60
3,3,60,76,73
3,4,50,63,47
4,3,71,54,61
5,5,47,44,44
6,6,39,38,37
2,2,83,93,88
3,4,48,69,67
5,6,32,41,40
4,4,58,53,57
6,4,61,36,60
4,4,46,52,54
1,1,119,129,132
2,1,106,105,137
2,2,102,127,116
2,2,71,92,86
2,2,118,96,126
5,4,47,44,62
3,3,70,72,67
2,3,78,85,70
6,6,32,37,39
8,6,38,27,39
2,1,105,105,130
3,3,68,67,72
8,6,32,25,42
4,3,64,59,63
6,6,38,37,36
2,2,87,102,98
8,6,35,26,38
3,3,50,70,71
2,2,81,102,93
5,5,38,48,41
4,4,58,60,57
6,4,47,37,67
5,4,46,47,52
2,3,75,86,82
1,1,128,131,147
3,3,82,74,80
2,2,109,114,118
2,2,110,124,119
3,3,63,64,60
4,5,38,49,41
7,4,50,32,43
5,5,43,44,47
5,4,49,47,49
3,2,87,77,93
2,3,70,99,78
4,4,60,57,57
4,4,47,53,52
4,5,42,50,48
5,5,38,47,51
2,2,81,84,107
5,4,57,42,52
2,2,108,109,124
2,2,81,95,106
5,6,39,45,35
7,6,38,29,39
3,3,74,83,77
1,1,120,136,129
5,4,49,47,48
6,6,30,35,38
1,2,103,131,115
3,3,63,77,73
2,2,96,109,114
6,5,39,39,55
3,3,58,78,70
2,2,98,103,103
2,2,82,84,87
2,2,111,106,125
5,3,53,44,77
1,1,111,146,135
3,3,59,72,66
2,2,103,123,116
8,6,31,26,41
5,3,55,45,76
2,2,82,98,92
2,2,101,110,109
6,6,37,37,39
4,4,54,60,60
3,3,66,73,68
6,6,30,34,36
4,4,58,58,57
3,2,80,73,115
2,2,66,86,86
3,3,55,66,64
3,3,70,80,77
5,4,49,47,47
8,6,39,27,39
3,3,75,81,77
5,5,46,48,48
5,5,44,46,43
4,2,86,58,70
5,5,41,41,35
6,6,33,35,35
2,2,111,126,120
4,4,42,53,50
2,2,86,102,91
6,5,40,40,40
7,5,35,33,54
3,3,77,77,79
2,2,113,93,121
3,3,51,66,65
7,5,35,30,42
3,3,65,69,63
2,1,94,111,131
3,3,66,77,73
2,2,109,116,117
3,3,61,70,69
5,5,43,41,46
2,3,53,87,82
3,3,62,72,69
3,2,96,77,120
4,4,46,58,68
2,2,86,115,105
4,4,54,56,53
3,4,49,79,70
3,3,70,79,74
4,3,57,50,76
2,2,98,119,112
2,2,100,113,109
2,3,79,88,78
4,4,51,62,61
2,2,85,92,90
2,2,85,107,102
4,5,37,51,43
7,6,35,31,33
3,3,55,80,73
3,3,58,69,67
3,3,63,64,68
5,6,35,47,39
6,5,43,40,42
2,2,111,86,112
2,2,108,106,120
3,3,70,71,72
2,2,84,92,88
6,5,40,36,39
2,2,91,105,100
5,5,47,46,46
3,2,69,69,94
3,3,64,71,64
4,4,48,54,54
3,3,67,64,66
6,5,37,36,41
5,5,39,41,45
2,2,95,123,112
2,1,90,102,139
4,4,57,61,58
1,1,112,147,135
2,2,83,87,89
4,4,56,51,55
4,2,72,57,88
6,5,41,38,42
5,6,31,43,40
5,4,55,47,59
7,4,45,31,63
1,1,107,146,147
6,6,33,38,37
5,5,46,48,49
4,6,42,49,34
1,1,110,135,141
1,1,107,143,131
2,2,98,118,109
8,5,46,27,40
3,3,59,71,68
4,3,65,62,66
1,1,122,129,150
4,4,54,53,52
6,3,51,35,84
2,2,87,100,94
1,2,109,131,121
2,2,98,114,110
3,2,91,77,102
2,2,90,126,112
6,6,38,34,40
4,3,60,60,67
3,3,75,79,73
3,3,59,70,67
7,6,32,31,42
2,2,90,111,102
1,1,114,134,131
3,3,62,65,68
7,5,36,33,48
1,1,113,141,143
8,6,29,27,35
6,5,42,40,40
2,2,105,123,116
5,5,35,45,47
4,2,83,58,88
2,2,73,96,91
6,5,43,34,49
2,3,77,85,83
3,3,71,79,74
2,3,67,92,73
6,6,34,37,34
3,3,63,79,77
4,4,42,57,50
7,6,33,33,36
2,3,66,86,82
3,3,82,73,80
2,2,83,99,94
2,3,69,88,84
3,3,65,67,62
2,2,86,111,101
5,5,43,48,42
2,2,76,99,118
2,2,99,105,105
6,4,42,35,62
6,6,36,39,39
5,5,41,42,43
8,5,33,26,56
5,5,45,42,36
2,2,69,110,116
3,3,71,69,75
4,5,40,53,43
1,2,111,135,125
2,3,73,86,80
2,3,73,91,84
2,2,81,105,100
3,3,50,77,69
3,3,64,75,73
1,1,122,144,145
2,2,80,105,95
4,2,73,59,113
4,3,64,60,63
2,2,64,100,103
5,5,47,45,47
6,5,35,40,42
2,1,111,102,132
3,3,66,74,71
3,3,53,66,89
4,4,57,54,61
2,2,95,122,111
1,2,106,139,125
2,2,93,119,112
2,2,84,96,93
8,5,33,28,64
4,4,55,60,56
4,3,61,55,81
2,2,110,126,119
4,3,67,59,70
2,2,110,127,119
2,3,75,86,78
3,2,86,81,88
6,6,32,34,34
6,5,40,35,38
4,4,45,56,63
1,1,110,140,130
3,3,63,64,61
5,5,35,45,41
4,5,45,60,46
5,5,46,42,34
2,2,72,96,86
2,2,79,95,89
5,5,43,42,43
2,2,85,93,85
6,5,42,38,39
2,2,77,100,96
2,2,88,97,98
1,1,119,139,137
5,5,37,47,45
3,2,99,72,113
3,3,74,74,68
6,4,52,34,57
3,4,57,65,48
2,2,107,114,114
3,3,52,68,73
2,3,69,84,77
4,2,70,61,86
5,3,56,45,74
6,6,35,34,32
2,2,118,99,119
5,3,56,49,64
4,4,53,58,54
4,4,55,56,59
5,5,44,46,47
3,3,66,64,61
6,6,35,40,38
2,2,81,92,88
2,2,79,109,88
4,3,62,62,60
6,4,51,34,46
2,1,110,126,138
4,4,55,52,53
2,2,102,111,106
7,4,41,31,74
6,5,35,36,43
4,4,43,53,51
2,2,97,111,108
5,3,51,46,69
2,2,83,96,89
1,1,114,146,135
8,6,39,28,35
4,3,64,62,63
1,2,105,133,116
2,2,80,103,99
1,1,124,128,149
8,6,29,26,47
4,4,56,52,62
2,2,90,102,98
2,2,78,115,104
3,3,55,77,66
7,6,33,31,48
4,5,38,50,44
3,3,68,75,71
3,3,64,64,61
3,4,55,64,59
2,3,58,87,80
5,3,54,44,78
4,6,48,51,34
5,5,38,44,43
2,1,106,106,134
2,2,101,120,107
2,2,110,97,117
5,5,34,42,41
2,2,86,99,96
3,2,77,68,105
3,4,42,62,53
3,3,68,75,70
