,gM,rbM,rI,gI,bI
0,15,32,1,4,3
1,12,28,1,4,3
2,13,34,1,4,3
3,13,33,1,4,3
4,12,38,1,5,3
5,10,29,1,4,3
6,14,34,1,4,3
7,12,35,1,5,3
8,13,29,1,4,3
9,12,26,1,4,3
10,9,23,1,4,3
11,13,22,2,4,3
12,14,25,2,4,3
13,14,33,1,4,3
14,11,29,1,4,3
15,10,24,1,4,3
16,12,36,1,5,3
17,11,34,1,4,3
18,12,42,1,5,3
19,13,38,1,4,3
20,13,36,1,4,3
21,15,43,1,5,3
22,13,40,1,5,3
23,12,30,1,4,3
24,9,24,1,4,3
25,9,20,1,4,3
26,13,35,1,4,3
27,12,28,2,5,3
28,13,23,2,4,3
29,12,20,2,4,3
30,10,25,1,4,3
31,13,41,1,5,3
32,11,27,1,4,3
33,12,40,1,5,3
34,13,44,1,5,3
35,11,39,1,5,3
36,12,45,1,5,3
37,10,31,1,4,3
38,13,24,2,4,3
39,13,25,2,4,3
40,14,31,2,5,3
41,11,43,1,5,3
42,11,25,2,5,3
43,13,31,2,5,3
44,13,26,2,4,3
45,14,26,2,4,3
46,12,37,1,4,3
47,12,31,1,4,3
48,12,34,1,4,3
49,10,30,1,4,3
50,11,34,1,5,3
51,13,32,1,4,3
52,14,33,2,5,3
53,12,26,2,5,3
54,12,33,1,4,3
55,11,40,1,5,3
56,14,46,1,5,3
57,14,42,1,5,3
58,15,41,1,5,3
59,11,36,1,5,3
60,11,38,1,5,3
61,13,42,1,5,3
62,13,28,2,5,3
63,14,24,2,4,3
64,14,30,2,5,3
65,13,29,2,5,3
66,12,39,1,5,3
67,12,27,2,5,3
68,10,27,1,4,3
69,13,45,1,5,3
70,15,32,2,5,3
71,11,21,2,4,3
72,10,19,2,4,3
73,11,33,1,4,3
74,10,18,2,4,3
75,13,39,1,4,3
76,12,36,1,4,3
77,9,18,2,4,3
78,12,22,2,4,3
79,10,38,1,5,3
80,12,34,1,5,3
81,15,39,1,5,3
82,11,35,1,5,3
83,10,33,1,5,3
84,13,43,1,5,3
85,11,24,2,5,3
86,11,22,2,4,3
87,16,35,2,5,3
88,13,31,1,4,3
89,15,25,2,4,3
90,12,23,2,5,4
91,13,27,2,5,3
92,11,27,2,5,3
93,11,26,2,5,3
94,12,21,2,4,3
95,9,16,2,4,3
96,13,28,1,5,4
97,12,29,1,5,4
98,13,37,1,5,3
