gM,rbM,rI,gI,bI
1,1,14,14,14
1,1,13,14,14
1,1,14,13,14
1,1,14,14,13
1,1,13,14,13
1,1,14,13,13
1,1,13,13,14
1,1,13,13,13
1,1,15,14,14
1,2,15,14,15
2,2,15,15,15
2,2,16,15,15
2,2,16,15,16
2,2,17,15,16
2,2,19,16,17
2,2,20,16,18
2,3,22,17,20
2,3,22,17,21
2,3,22,17,22
2,3,21,17,22
2,3,20,17,21
2,3,19,17,20
2,2,18,17,19
2,2,17,16,18
2,2,16,16,17
2,2,15,15,16
2,1,14,15,15
1,1,14,14,15
2,2,18,16,17
2,2,17,16,17
2,2,16,16,16
2,1,15,15,14
2,2,17,17,16
2,2,18,17,16
2,2,18,18,17
2,2,17,16,16
2,2,16,16,15
2,2,17,18,17
3,2,18,19,18
3,2,19,20,18
3,2,20,21,18
3,2,20,20,18
2,2,18,18,16
2,2,17,16,15
2,1,14,15,14
3,3,19,21,19
3,3,20,22,19
3,3,21,23,19
3,2,21,22,18
3,2,20,19,17
2,2,18,16,16
2,2,17,17,17
2,2,18,18,18
3,2,18,20,19
3,3,20,22,20
3,3,21,23,20
3,2,19,19,17
2,2,17,18,18
3,3,19,20,19
3,2,18,20,18
2,2,16,17,16
2,2,16,17,17
2,2,15,16,15
3,2,18,19,17
3,2,20,20,17
2,2,19,18,16
2,2,17,15,15
2,2,17,18,16
3,2,19,21,18
2,2,19,18,17
3,2,19,20,17
3,2,17,19,17
2,2,15,16,16
2,2,17,15,17
2,2,17,15,18
2,2,16,15,19
2,2,16,15,18
2,2,15,15,17
1,1,14,14,16
2,3,19,16,20
2,3,23,17,23
2,3,25,18,27
3,3,26,19,29
2,3,24,18,28
2,3,21,17,26
2,2,18,16,22
1,2,15,14,17
2,3,19,16,19
2,3,22,18,23
3,3,30,20,30
3,3,41,27,41
3,3,50,34,50
3,3,52,35,54
3,3,46,31,51
3,3,35,24,43
3,3,25,19,34
2,3,19,17,26
2,2,16,15,20
2,3,19,17,19
3,3,25,20,26
3,3,35,26,38
3,3,51,38,57
3,2,73,57,77
2,2,88,77,91
2,2,93,80,95
2,2,83,68,87
3,2,63,46,71
3,3,41,28,51
3,3,25,20,36
2,2,18,17,25
1,2,15,14,16
2,2,19,16,18
3,3,24,19,24
3,3,37,27,40
3,2,58,46,66
2,2,85,79,96
1,1,109,118,121
1,1,122,139,135
1,1,127,145,138
1,1,118,128,125
2,2,95,88,101
3,2,64,47,71
3,3,36,26,45
2,3,22,18,30
2,2,17,16,21
3,3,31,23,33
3,2,53,41,60
2,2,83,78,96
1,1,112,126,129
1,1,132,156,152
1,1,139,165,161
1,1,141,165,162
1,1,138,160,149
1,1,119,126,122
2,2,81,70,85
3,3,46,31,52
3,3,27,20,33
2,3,19,16,22
2,2,16,15,17
2,2,18,15,16
2,3,25,18,24
3,3,40,27,43
3,2,69,56,80
2,1,101,108,122
1,1,128,154,151
1,1,140,166,165
1,1,143,167,168
1,1,143,167,167
1,1,141,165,156
1,1,126,140,127
2,2,88,77,88
3,3,50,34,53
3,3,29,21,33
2,3,19,17,23
3,3,28,19,27
3,3,46,32,51
2,2,79,69,95
1,1,111,127,137
1,1,134,162,161
1,1,142,167,169
1,1,143,167,169
1,1,143,168,166
1,1,137,164,151
1,1,119,134,120
2,2,83,70,80
3,3,47,32,49
3,3,27,20,31
2,2,20,16,17
3,3,30,20,28
3,3,50,35,54
2,2,84,73,101
1,1,116,134,143
1,1,136,164,164
1,1,142,168,168
1,1,138,166,160
1,1,127,153,138
1,2,102,109,103
3,2,68,56,68
3,3,39,29,42
3,3,24,19,28
2,2,18,16,20
3,3,30,19,26
3,3,49,32,50
2,2,82,68,92
1,1,113,121,135
1,1,133,158,158
1,1,139,165,164
1,1,136,165,159
1,1,127,156,145
1,1,107,127,118
2,2,81,79,84
3,3,52,42,55
3,3,31,24,35
2,3,21,18,24
2,3,28,18,22
3,3,44,27,40
3,2,70,50,72
2,1,99,91,110
1,1,117,129,135
1,1,123,145,143
1,1,117,139,137
1,1,104,118,117
2,2,83,84,90
3,2,59,51,62
3,3,39,31,42
3,3,25,21,28
2,3,19,17,21
2,2,19,15,16
2,3,24,17,19
3,3,36,21,29
3,3,54,32,48
3,2,74,52,73
2,2,89,76,95
2,2,95,89,104
2,2,89,84,98
2,2,75,67,82
3,2,58,47,62
3,3,41,32,44
3,3,28,23,31
2,3,21,18,23
2,2,21,16,17
2,3,27,18,21
3,3,38,22,29
3,3,50,29,42
3,2,59,37,54
3,2,63,42,61
3,2,59,41,58
3,3,50,34,49
3,3,38,27,39
3,3,29,23,30
3,3,22,19,23
2,2,18,15,15
2,3,26,17,20
3,3,32,19,24
3,3,37,21,29
3,3,38,23,32
3,3,36,22,31
3,3,31,21,29
3,3,26,19,25
2,3,21,18,22
2,2,18,16,19
2,2,20,15,16
2,2,22,16,17
2,3,25,17,20
2,3,24,17,20
2,3,22,16,19
1,2,16,14,15
1,1,16,14,14
2,2,16,16,19
2,2,16,16,20
2,2,15,15,18
2,2,18,16,18
2,2,16,16,18
2,2,17,16,20
2,3,19,17,25
2,3,21,18,29
3,3,22,19,33
3,3,22,19,34
3,3,21,19,33
2,3,19,17,29
2,2,17,16,24
2,2,15,15,20
2,1,14,15,17
2,3,21,18,20
3,3,22,19,21
3,3,23,20,22
3,3,22,19,22
2,3,20,18,21
2,2,18,17,20
2,3,20,18,24
3,3,24,20,31
3,3,31,22,41
3,3,39,29,55
3,2,44,32,65
3,2,43,33,67
3,2,37,29,62
3,3,29,24,53
3,3,22,20,40
2,2,17,17,28
2,2,15,16,21
3,3,21,19,21
3,3,23,22,24
3,3,26,25,26
3,3,29,28,28
3,3,31,30,29
3,3,28,26,26
3,3,23,20,23
3,3,22,20,27
3,3,29,24,39
3,3,40,31,57
3,2,54,45,78
