gM,rbM,rI,gI,bI
3.25,3.566666666666667,30,20,30
3.5185185185185186,3.4146341463414633,41,27,41
3.5588235294117645,3.18,50,34,50
3.6,3.085470085470085,52,35,54
3.5,3.4627906976744187,35,24,43
3.25,3.569230769230769,25,20,26
3.5384615384615383,3.55,35,26,38
3.5,3.0784313725490193,51,38,57
3.0,2.5740971357409714,73,57,77
2.5454545454545454,2.290959040959041,88,77,91
2.475,2.207640067911715,93,80,95
2.7058823529411766,2.371762913723861,83,68,87
3.3260869565217392,2.75251509054326,63,46,71
3.25,3.5777777777777775,25,20,36
3.5185185185185186,3.4557432432432433,37,27,40
3.3260869565217392,2.861546499477534,58,46,66
2.481012658227848,2.276102941176471,85,79,96
2.3181818181818183,2.1541427826993225,95,88,101
3.276595744680851,2.730193661971831,64,47,71
3.5384615384615383,3.4444444444444446,36,26,45
3.4146341463414633,3.005503144654088,53,41,60
2.5128205128205128,2.304593373493976,83,78,96
2.6714285714285713,2.4107480029048656,81,70,85
3.25,3.547138047138047,27,20,33
3.5185185185185186,3.3752906976744184,40,27,43
3.0357142857142856,2.5780797101449275,69,56,80
2.009259259259259,1.9815370881350431,101,108,122
2.5454545454545454,2.3181818181818183,88,77,88
3.5588235294117645,3.1371698113207547,50,34,53
3.4285714285714284,3.58098223615465,29,21,33
2.681159420289855,2.3352431712191875,79,69,95
2.6714285714285713,2.4483433734939757,83,70,80
3.25,3.565710872162485,27,20,31
3.6,3.1177777777777775,50,35,54
2.6027397260273974,2.2558345120226306,84,73,101
1.9908256880733946,2.0878545592994477,102,109,103
3.0357142857142856,2.7058823529411766,68,56,68
3.586206896551724,3.4212454212454215,39,29,42
2.7058823529411766,2.3390774125132556,82,68,92
2.481012658227848,2.4248236331569664,81,79,84
3.380952380952381,3.0667832167832167,52,42,55
3.5185185185185186,3.394318181818182,44,27,40
3.18,2.6482142857142854,70,50,72
2.2637362637362637,2.0570707070707073,99,91,110
1.8898305084745763,1.9775641025641024,104,118,117
2.392857142857143,2.3552878179384202,83,84,90
3.156862745098039,2.9015855658829963,59,51,62
3.4285714285714284,3.57088122605364,36,21,29
3.1153846153846154,2.5851536467974823,74,52,73
2.539473684210526,2.2464222353636902,89,76,95
2.303370786516854,2.123582995951417,95,89,104
2.392857142857143,2.233318046319652,89,84,98
2.746268656716418,2.499512195121951,75,67,82
3.276595744680851,2.9182424916573972,58,47,62
3.5,3.543103448275862,38,22,29
3.586206896551724,3.2804761904761905,50,29,42
3.4864864864864864,2.993879472693032,59,37,54
3.380952380952381,2.879391100702576,63,42,61
3.4146341463414633,2.9488603156049096,59,41,58
3.5588235294117645,3.2022448979591838,50,34,49
3.5185185185185186,3.480769230769231,38,27,39
3.5652173913043477,3.5764367816091953,29,23,30
3.4285714285714284,3.536346691519105,37,21,29
3.5652173913043477,3.578125,38,23,32
3.5,3.5842293906810037,36,22,31
3.25,3.556451612903226,24,20,31
3.5,3.5137686860739574,31,22,41
3.586206896551724,3.2398601398601397,39,29,55
3.5757575757575757,3.0359250260326274,43,33,67
3.586206896551724,3.178727114210985,37,29,62
3.5,3.340273259596617,29,24,53
3.25,3.4625,22,20,40
3.5,3.532608695652174,23,22,24
3.6,3.5384615384615383,26,25,26
3.5384615384615383,3.572802197802198,28,26,26
3.25,3.5652173913043477,23,20,23
3.25,3.5092592592592595,22,20,27
3.5,3.523872679045093,29,24,39
3.3333333333333335,2.784188034188034,54,45,78
2.870967741935484,2.40625,72,62,96
2.5128205128205128,2.233530886710736,82,78,107
2.5675675675675675,2.2149250391586484,82,74,109
2.857142857142857,2.3645604395604396,70,63,104
3.3636363636363638,2.7375222816399285,51,44,88
3.586206896551724,3.166666666666667,33,29,66
3.4285714285714284,3.4318181818181817,22,21,44
3.5,3.519230769230769,24,24,26
3.566666666666667,3.5425925925925927,27,30,30
3.4146341463414633,3.5555555555555554,36,41,36
3.3260869565217392,3.480769230769231,39,46,38
3.3260869565217392,3.4557432432432433,40,46,37
3.5,3.531122031122031,37,38,33
3.6,3.5137686860739574,31,25,41
3.5,3.0170857511283042,47,38,66
2.8125,2.428208576124309,69,64,97
2.163265306122449,2.0539992794091155,91,98,122
2.392857142857143,2.118101438010105,83,84,124
