gM,rbM,rI,gI,bI
15,32,1,4,3
12,28,1,4,3
13,34,1,4,3
13,33,1,4,3
12,38,1,5,3
10,29,1,4,3
14,34,1,4,3
12,35,1,5,3
13,29,1,4,3
12,26,1,4,3
9,23,1,4,3
13,22,2,4,3
14,25,2,4,3
14,33,1,4,3
11,29,1,4,3
10,24,1,4,3
12,36,1,5,3
11,34,1,4,3
12,42,1,5,3
13,38,1,4,3
13,36,1,4,3
15,43,1,5,3
13,40,1,5,3
12,30,1,4,3
9,24,1,4,3
9,20,1,4,3
13,35,1,4,3
12,28,2,5,3
13,23,2,4,3
12,20,2,4,3
10,25,1,4,3
13,41,1,5,3
11,27,1,4,3
12,40,1,5,3
13,44,1,5,3
11,39,1,5,3
12,45,1,5,3
10,31,1,4,3
13,24,2,4,3
13,25,2,4,3
14,31,2,5,3
11,43,1,5,3
11,25,2,5,3
13,31,2,5,3
13,26,2,4,3
14,26,2,4,3
12,37,1,4,3
12,31,1,4,3
12,34,1,4,3
10,30,1,4,3
11,34,1,5,3
13,32,1,4,3
14,33,2,5,3
12,26,2,5,3
12,33,1,4,3
11,40,1,5,3
14,46,1,5,3
14,42,1,5,3
15,41,1,5,3
11,36,1,5,3
11,38,1,5,3
13,42,1,5,3
13,28,2,5,3
14,24,2,4,3
14,30,2,5,3
13,29,2,5,3
12,39,1,5,3
15,56,1,5,3
12,27,2,5,3
10,27,1,4,3
13,45,1,5,3
17,54,1,5,3
15,32,2,5,3
11,21,2,4,3
10,19,2,4,3
11,33,1,4,3
10,18,2,4,3
13,39,1,4,3
12,36,1,4,3
9,18,2,4,3
12,22,2,4,3
10,38,1,5,3
12,34,1,5,3
15,39,1,5,3
11,35,1,5,3
10,33,1,5,3
13,43,1,5,3
11,24,2,5,3
11,22,2,4,3
16,35,2,5,3
13,31,1,4,3
15,25,2,4,3
12,23,2,5,4
13,27,2,5,3
11,27,2,5,3
11,26,2,5,3
12,21,2,4,3
9,16,2,4,3
13,28,1,5,4
12,29,1,5,4
13,37,1,5,3
11,37,1,5,3
11,36,1,4,3
10,39,1,5,3
9,30,1,4,3
11,20,2,4,3
11,28,1,4,3
12,29,1,4,3
8,24,1,4,3
9,17,2,4,3
14,28,2,5,3
10,35,1,5,3
14,22,2,4,3
9,15,2,4,3
9,22,1,4,3
12,35,1,4,3
13,46,1,5,3
13,38,1,5,3
13,34,1,5,3
10,25,1,5,3
9,25,1,4,3
10,23,2,5,3
13,31,1,5,4
14,29,2,5,3
14,22,2,4,4
15,29,2,5,4
15,29,2,5,3
12,31,1,5,4
11,32,1,5,3
11,33,1,5,3
11,19,2,4,3
12,24,2,5,3
16,36,2,5,3
11,23,2,5,3
16,33,2,5,3
15,28,2,5,4
21,35,2,5,4
19,41,2,5,3
20,45,2,6,4
22,36,2,5,4
