rI,gI,bI,rT,gT,bT,rM,gM,bM
2,6,4,48,67,86,24,,
2,5,4,52,61,68,26,,
2,6,4,62,79,94,31,,
2,5,4,49,61,72,24.5,,
2,6,4,51,65,78,25.5,,
2,6,4,64,69,73,32,,
2,6,4,68,75,80,34,,
2,6,4,58,68,76,29,,
2,6,4,81,80,77,40.5,,
2,5,4,66,54,44,33,,
2,5,4,73,56,43,36.5,,
2,5,4,64,57,51,32,,
2,6,4,54,81,104,27,,
2,6,4,52,79,101,26,,
2,5,4,56,58,59,28,,
2,5,4,74,62,51,37,,
2,6,4,69,64,59,34.5,,
2,6,4,59,67,74,29.5,,
2,6,4,77,70,63,38.5,,
2,6,4,71,80,85,35.5,,
2,6,4,57,61,64,28.5,,
2,5,4,46,57,68,23,,
2,5,4,46,55,63,23,,
2,6,4,61,67,72,30.5,,
2,6,4,55,67,78,27.5,,
2,6,4,60,60,59,30,,
2,6,4,82,63,48,41,,
2,6,4,101,85,67,50.5,,
2,5,4,56,51,46,28,,
2,6,4,64,68,72,32,,
2,6,4,72,87,99,36,,
2,6,4,51,67,81,25.5,,
2,6,4,64,71,76,32,,
2,5,4,43,57,70,21.5,,
2,6,4,49,94,126,24.5,,
2,6,4,58,93,118,29,,
2,6,4,80,103,117,40,,
2,6,4,97,91,81,48.5,,
2,6,4,70,67,62,35,,
2,6,4,64,70,74,32,,
2,5,4,50,56,61,25,,
2,6,4,74,69,63,37,,
2,6,4,73,72,69,36.5,,
2,6,4,66,77,84,33,,
2,6,4,62,70,75,31,,
2,6,4,63,74,82,31.5,,
2,6,4,95,108,114,47.5,,
2,6,4,94,86,75,47,,
2,6,4,82,84,83,41,,
2,6,4,62,90,111,31,,
2,5,4,28,58,89,14,,
2,6,4,49,62,73,24.5,,
2,6,4,68,62,55,34,,
2,5,4,74,58,44,37,,
2,5,4,72,58,46,36,,
2,6,4,59,63,66,29.5,,
2,6,4,60,80,96,30,,
2,6,4,79,90,96,39.5,,
2,6,4,97,100,99,48.5,,
2,6,4,91,102,107,45.5,,
2,6,4,87,88,86,43.5,,
2,6,4,69,97,115,34.5,,
2,6,4,97,80,61,48.5,,
2,6,4,113,84,54,56.5,,
2,6,4,114,92,67,57,,
2,6,4,85,72,59,42.5,,
2,6,4,63,88,106,31.5,,
2,5,4,49,60,70,24.5,,
2,5,4,51,56,61,25.5,,
2,5,4,69,51,36,34.5,,
2,5,3,90,47,18,45,,
2,6,4,108,73,41,54,,
2,6,4,79,86,90,39.5,,
2,6,4,79,91,99,39.5,,
2,6,4,77,87,93,38.5,,
2,6,4,52,87,114,26,,
2,6,4,70,85,96,35,,
2,6,4,101,85,68,50.5,,
2,6,4,103,86,68,51.5,,
2,6,4,79,71,64,39.5,,
2,6,4,83,83,81,41.5,,
2,6,4,79,82,81,39.5,,
2,6,4,92,94,92,46,,
2,6,4,73,85,91,36.5,,
2,5,4,50,62,72,25,,
2,6,4,63,83,98,31.5,,
2,6,4,81,67,54,40.5,,
2,6,4,105,79,55,52.5,,
2,6,4,58,82,100,29,,
2,6,4,67,72,76,33.5,,
2,6,4,52,80,104,26,,
2,6,4,61,74,84,30.5,,
2,5,4,48,61,73,24,,
2,6,4,38,65,92,19,,
2,5,5,24,52,82,12,,
2,5,4,43,50,56,21.5,,
2,5,4,48,59,68,24,,
2,5,4,51,59,67,25.5,,
2,6,4,55,79,100,27.5,,
2,5,4,57,57,57,28.5,,
2,6,4,68,61,54,34,,
2,5,4,51,59,65,25.5,,
2,6,4,53,60,67,26.5,,
2,6,4,76,69,62,38,,
2,5,4,53,54,55,26.5,,
2,5,4,56,44,34,28,,
2,5,4,58,52,46,29,,
2,6,4,52,62,70,26,,
2,5,4,64,57,51,32,,
2,6,4,75,73,69,37.5,,
2,6,4,89,69,52,44.5,,
2,6,4,69,70,70,34.5,,
2,6,4,69,62,56,34.5,,
2,6,4,61,69,75,30.5,,
2,6,4,76,78,78,38,,
2,6,4,76,61,48,38,,
2,6,4,70,73,74,35,,
2,5,4,60,54,49,30,,
2,5,4,46,43,41,23,,
2,5,4,46,58,68,23,,
2,6,4,74,90,100,37,,
2,6,4,80,82,81,40,,
2,6,4,73,86,95,36.5,,
2,6,4,76,82,85,38,,
2,6,4,70,87,99,35,,
2,6,4,86,82,75,43,,
2,6,4,88,73,58,44,,
2,6,4,100,79,59,50,,
2,6,4,82,72,63,41,,
2,6,4,73,76,75,36.5,,
2,6,4,51,83,109,25.5,,
2,6,4,68,85,96,34,,
2,6,4,73,87,95,36.5,,
2,6,4,76,78,78,38,,
2,6,4,73,67,61,36.5,,
2,6,4,68,71,72,34,,
2,6,4,74,90,100,37,,
2,6,4,64,83,98,32,,
2,6,4,88,77,64,44,,
2,6,4,45,65,84,22.5,,
2,6,4,48,70,90,24,,
2,6,4,61,68,73,30.5,,
2,6,4,81,72,64,40.5,,
2,6,4,70,66,61,35,,
2,6,4,77,74,70,38.5,,
2,6,4,74,74,72,37,,
2,6,4,87,89,88,43.5,,
2,6,4,118,93,65,59,,
2,6,4,107,80,53,53.5,,
2,6,4,69,72,74,34.5,,
2,6,4,81,79,74,40.5,,
2,6,4,86,90,91,43,,
2,6,4,83,73,63,41.5,,
2,6,4,113,96,75,56.5,,
2,6,4,116,80,45,58,,
2,6,4,79,76,69,39.5,,
2,6,4,49,83,109,24.5,,
2,6,4,43,71,96,21.5,,
2,6,4,61,67,72,30.5,,
2,6,4,76,74,70,38,,
2,6,4,111,74,41,55.5,,
2,6,4,83,82,77,41.5,,
2,6,4,103,87,70,51.5,,
2,6,4,114,83,53,57,,
2,6,4,88,78,68,44,,
2,6,4,62,65,67,31,,
2,6,4,60,86,106,30,,
2,6,4,94,90,82,47,,
2,6,4,65,71,75,32.5,,
2,6,4,86,78,69,43,,
2,6,4,99,100,98,49.5,,
2,6,4,119,106,88,59.5,,
2,6,4,76,69,62,38,,
2,6,4,47,76,101,23.5,,
2,6,4,46,87,118,23,,
2,6,4,46,78,105,23,,
2,6,4,73,65,58,36.5,,
2,6,4,101,78,54,50.5,,
2,6,4,74,70,65,37,,
2,6,4,75,71,65,37.5,,
2,6,4,57,77,94,28.5,,
2,6,4,57,73,86,28.5,,
2,5,4,43,58,71,21.5,,
2,5,4,34,55,77,17,,
2,5,4,40,57,72,20,,
2,5,4,46,56,66,23,,
2,5,4,42,60,76,21,,
2,6,4,46,72,96,23,,
2,6,4,53,63,71,26.5,,
2,5,4,42,40,40,21,,
2,5,4,58,41,28,29,,
2,5,4,56,53,51,28,,
2,6,4,63,63,63,31.5,,
2,6,4,61,69,75,30.5,,
2,5,4,57,55,53,28.5,,
2,5,4,60,55,51,30,,
2,6,4,42,61,78,21,,
2,6,4,52,67,78,26,,
2,5,4,54,50,46,27,,
2,6,4,76,64,53,38,,
2,5,4,72,56,44,36,,
2,6,4,60,76,89,30,,
2,6,4,59,65,70,29.5,,
2,6,4,89,73,58,44.5,,
2,6,4,83,74,64,41.5,,
2,6,4,108,89,70,54,,
2,6,4,67,75,81,33.5,,
2,5,4,42,46,51,21,,
2,5,4,32,45,58,16,,
2,6,4,48,62,75,24,,
2,5,4,46,58,68,23,,
2,6,4,55,80,100,27.5,,
2,6,4,66,84,97,33,,
2,6,4,59,77,92,29.5,,
2,6,4,52,78,100,26,,
2,6,4,72,87,97,36,,
2,6,4,91,78,64,45.5,,
2,6,4,84,86,84,42,,
2,6,4,83,84,82,41.5,,
2,6,4,80,91,96,40,,
2,6,4,51,85,111,25.5,,
2,6,4,67,67,66,33.5,,
2,6,4,83,81,77,41.5,,
2,6,4,75,74,72,37.5,,
2,6,4,70,68,65,35,,
2,6,4,71,78,83,35.5,,
2,6,4,68,71,72,34,,
2,6,4,69,71,72,34.5,,
2,6,4,91,103,108,45.5,,
2,6,4,45,80,108,22.5,,
2,6,4,42,66,88,21,,
2,6,4,67,72,75,33.5,,
2,6,4,77,76,72,38.5,,
2,6,4,79,79,77,39.5,,
2,5,4,73,55,40,36.5,,
2,6,4,101,77,55,50.5,,
2,6,4,117,87,55,58.5,,
2,6,4,107,92,75,53.5,,
2,6,4,106,101,92,53,,
2,6,4,83,85,84,41.5,,
2,6,4,79,71,63,39.5,,
2,6,4,106,85,65,53,,
2,6,4,85,86,85,42.5,,
2,6,4,61,74,84,30.5,,
2,6,4,66,63,59,33,,
2,6,4,59,73,85,29.5,,
2,6,4,44,74,100,22,,
2,6,4,68,78,85,34,,
2,6,4,60,62,63,30,,
2,6,4,76,71,65,38,,
2,6,4,79,68,58,39.5,,
2,6,4,69,74,76,34.5,,
2,6,4,77,63,51,38.5,,
2,6,4,135,89,40,67.5,,
2,6,4,141,90,36,70.5,,
2,6,4,86,70,57,43,,
2,6,4,68,71,74,34,,
2,6,4,59,66,71,29.5,,
2,6,4,57,73,87,28.5,,
2,6,4,52,78,99,26,,
2,6,4,79,80,79,39.5,,
2,6,4,84,81,76,42,,
2,6,4,58,80,97,29,,
2,6,4,45,93,127,22.5,,
2,6,4,35,81,119,17.5,,
2,6,4,54,77,96,27,,
2,6,4,86,86,84,43,,
2,6,4,98,95,87,49,,
2,6,4,74,71,66,37,,
2,6,4,84,74,64,42,,
2,6,4,68,64,60,34,,
2,6,4,57,70,82,28.5,,
2,6,4,79,78,75,39.5,,
2,5,4,48,52,56,24,,
2,6,4,75,65,56,37.5,,
2,6,4,69,62,57,34.5,,
2,5,4,40,50,59,20,,
2,5,4,33,56,78,16.5,,
2,6,4,59,64,67,29.5,,
2,5,4,52,47,44,26,,
2,5,4,56,41,29,28,,
2,5,4,56,57,57,28,,
2,6,4,58,68,77,29,,
2,5,4,25,46,67,12.5,,
2,5,4,49,62,73,24.5,,
2,6,4,48,64,78,24,,
2,6,4,36,71,104,18,,
2,6,4,39,63,86,19.5,,
2,5,4,65,56,48,32.5,,
2,5,4,70,49,33,35,,
2,6,4,69,67,64,34.5,,
2,6,4,78,76,72,39,,
2,6,4,61,63,64,30.5,,
2,6,4,57,66,75,28.5,,
2,6,4,88,65,45,44,,
2,6,4,77,61,48,38.5,,
2,6,4,76,71,65,38,,
2,6,4,56,63,70,28,,
2,6,4,62,63,63,31,,
2,6,4,58,65,71,29,,
2,5,4,50,56,61,25,,
2,5,4,45,51,56,22.5,,
2,5,4,52,57,62,26,,
2,5,4,49,56,62,24.5,,
2,6,4,44,68,90,22,,
2,6,4,53,64,74,26.5,,
2,6,4,96,99,97,48,,
2,6,4,89,86,80,44.5,,
2,6,4,64,64,64,32,,
2,6,4,63,74,83,31.5,,
2,6,4,76,66,56,38,,
2,5,4,68,59,50,34,,
2,6,4,84,69,55,42,,
2,6,4,79,66,54,39.5,,
2,6,4,73,68,62,36.5,,
2,5,4,54,58,62,27,,
2,6,4,60,75,87,30,,
2,6,4,75,72,69,37.5,,
2,6,4,94,92,86,47,,
2,6,4,39,83,119,19.5,,
2,6,4,45,107,144,22.5,,
2,6,4,72,69,65,36,,
2,6,4,71,64,57,35.5,,
2,6,4,99,90,80,49.5,,
2,6,4,116,74,37,58,,
2,6,4,116,75,37,58,,
2,6,4,138,106,65,69,,
2,6,4,121,104,82,60.5,,
2,6,4,93,84,74,46.5,,
2,6,4,106,85,64,53,,
2,5,4,72,59,47,36,,
2,6,4,91,83,74,45.5,,
2,6,4,71,73,73,35.5,,
2,6,4,65,73,78,32.5,,
2,6,4,76,75,70,38,,
2,6,4,69,73,76,34.5,,
2,6,4,56,70,81,28,,
2,6,4,54,68,80,27,,
2,6,4,55,77,95,27.5,,
2,6,4,82,83,80,41,,
2,6,4,81,85,85,40.5,,
2,6,4,55,89,115,27.5,,
2,6,4,76,67,58,38,,
2,6,4,93,101,104,46.5,,
2,6,4,103,98,89,51.5,,
2,6,4,85,92,94,42.5,,
2,6,4,89,81,70,44.5,,
2,6,4,66,77,84,33,,
2,5,4,56,54,51,28,,
2,6,4,68,71,72,34,,
2,6,4,89,99,102,44.5,,
2,6,4,76,96,109,38,,
2,6,4,71,72,71,35.5,,
2,6,4,41,83,117,20.5,,
2,6,4,29,83,127,14.5,,
2,6,4,59,84,102,29.5,,
2,6,4,63,82,96,31.5,,
2,6,4,65,66,66,32.5,,
2,6,4,62,71,77,31,,
2,6,4,79,71,63,39.5,,
2,6,4,66,66,66,33,,
2,6,4,57,66,74,28.5,,
2,6,4,67,78,86,33.5,,
2,6,4,76,66,56,38,,
2,6,4,89,72,57,44.5,,
2,6,4,66,67,68,33,,
2,6,4,62,78,92,31,,
2,6,4,55,67,78,27.5,,
2,5,4,62,56,50,31,,
2,6,4,66,63,60,33,,
2,6,4,72,67,62,36,,
2,5,4,51,62,71,25.5,,
2,5,4,38,62,86,19,,
2,5,4,28,53,78,14,,
2,6,4,39,73,104,19.5,,
2,6,4,37,66,94,18.5,,
2,6,4,31,69,105,15.5,,
2,6,4,53,63,72,26.5,,
2,5,4,58,58,57,29,,
2,5,4,59,46,37,29.5,,
2,5,4,49,60,70,24.5,,
2,6,4,44,64,83,22,,
2,5,4,59,48,40,29.5,,
2,6,4,74,64,56,37,,
2,6,4,106,77,50,53,,
2,6,4,102,82,63,51,,
2,6,4,85,74,62,42.5,,
2,6,4,82,94,101,41,,
2,6,4,65,94,115,32.5,,
2,6,4,52,64,75,26,,
2,6,4,63,65,65,31.5,,
2,6,4,70,66,62,35,,
2,6,4,64,60,56,32,,
2,6,4,69,62,56,34.5,,
2,5,4,38,57,75,19,,
2,6,4,48,61,73,24,,
2,6,4,70,81,88,35,,
2,6,4,57,83,103,28.5,,
2,5,4,46,60,72,23,,
2,5,4,49,52,55,24.5,,
2,6,4,60,76,88,30,,
2,6,4,66,86,100,33,,
2,6,4,98,100,97,49,,
2,6,4,100,90,78,50,,
2,6,4,117,105,89,58.5,,
2,6,4,73,80,84,36.5,,
2,6,4,57,64,70,28.5,,
2,6,4,60,66,71,30,,
2,6,4,82,83,80,41,,
2,6,4,62,77,89,31,,
2,6,4,60,88,109,30,,
2,6,4,81,82,81,40.5,,
2,6,4,86,68,52,43,,
2,6,4,103,79,56,51.5,,
2,6,4,83,64,48,41.5,,
2,6,4,94,66,44,47,,
2,6,4,111,98,81,55.5,,
2,6,4,94,82,68,47,,
2,6,4,81,75,67,40.5,,
2,5,4,66,55,46,33,,
2,6,4,78,64,53,39,,
2,6,4,69,64,58,34.5,,
2,6,4,80,84,84,40,,
2,6,4,80,85,87,40,,
2,6,4,67,69,70,33.5,,
2,6,4,65,67,68,32.5,,
2,6,4,62,68,72,31,,
2,6,4,52,80,102,26,,
2,6,4,53,96,126,26.5,,
2,6,4,57,83,102,28.5,,
2,6,4,74,75,72,37,,
2,6,4,62,61,60,31,,
2,6,4,56,67,75,28,,
2,6,4,82,79,76,41,,
2,6,4,105,76,50,52.5,,
2,6,4,81,76,70,40.5,,
2,6,4,74,78,80,37,,
2,6,4,67,73,78,33.5,,
2,6,4,71,75,77,35.5,,
2,6,4,85,80,75,42.5,,
2,6,4,57,76,92,28.5,,
2,6,4,54,76,94,27,,
2,6,4,54,82,105,27,,
2,6,4,63,84,99,31.5,,
2,6,4,58,73,85,29,,
2,6,4,68,81,89,34,,
2,6,4,73,89,100,36.5,,
2,6,4,62,82,96,31,,
2,6,4,69,82,91,34.5,,
2,6,4,78,69,59,39,,
2,6,4,82,67,55,41,,
2,5,4,70,55,43,35,,
2,6,4,75,73,69,37.5,,
2,6,4,74,70,66,37,,
2,6,4,79,66,53,39.5,,
2,6,4,48,90,122,24,,
2,6,4,51,65,77,25.5,,
2,6,4,67,78,86,33.5,,
2,6,4,99,74,51,49.5,,
2,6,4,75,66,58,37.5,,
2,6,4,85,75,64,42.5,,
2,6,4,53,64,73,26.5,,
2,5,4,31,43,56,15.5,,
2,6,4,34,77,114,17,,
2,6,4,30,77,118,15,,
2,6,4,47,73,95,23.5,,
2,6,4,31,69,105,15.5,,
2,6,4,51,72,89,25.5,,
2,6,4,68,65,62,34,,
2,5,4,64,53,43,32,,
2,6,4,53,62,70,26.5,,
2,6,4,61,61,61,30.5,,
2,5,4,54,43,34,27,,
2,6,4,67,63,60,33.5,,
2,6,4,67,68,69,33.5,,
2,6,4,83,72,61,41.5,,
2,6,4,107,71,39,53.5,,
2,6,4,83,74,65,41.5,,
2,6,4,76,82,86,38,,
2,6,4,67,76,82,33.5,,
2,6,4,73,82,87,36.5,,
2,5,4,72,54,40,36,,
2,6,4,85,66,50,42.5,,
2,6,4,86,68,52,43,,
2,6,4,95,76,57,47.5,,
2,6,4,51,88,116,25.5,,
2,6,4,34,76,113,17,,
2,6,4,31,88,132,15.5,,
2,6,4,47,67,85,23.5,,
2,6,4,53,66,77,26.5,,
2,6,4,64,74,82,32,,
2,6,4,49,79,104,24.5,,
2,6,4,70,94,110,35,,
2,6,4,85,109,121,42.5,,
2,6,4,78,104,119,39,,
2,6,4,63,81,94,31.5,,
2,6,4,63,67,70,31.5,,
2,6,4,52,78,99,26,,
2,6,4,104,94,80,52,,
2,6,4,96,88,77,48,,
2,6,4,61,69,75,30.5,,
2,6,4,86,78,69,43,,
2,6,4,88,81,71,44,,
2,6,4,93,80,65,46.5,,
2,5,4,85,54,31,42.5,,
2,6,4,108,72,40,54,,
2,6,4,93,87,78,46.5,,
2,6,4,105,80,55,52.5,,
2,6,4,122,76,34,61,,
2,6,4,110,94,75,55,,
2,6,4,90,78,64,45,,
2,6,4,79,73,67,39.5,,
2,6,4,75,70,65,37.5,,
2,6,4,79,83,82,39.5,,
2,6,4,87,75,62,43.5,,
2,6,4,77,71,63,38.5,,
2,6,4,79,67,56,39.5,,
2,6,4,95,78,59,47.5,,
2,6,4,55,67,77,27.5,,
2,6,4,91,75,59,45.5,,
2,6,4,77,66,56,38.5,,
2,6,4,62,64,65,31,,
2,6,4,52,73,90,26,,
2,6,4,53,63,72,26.5,,
2,6,4,72,68,64,36,,
2,6,4,94,77,59,47,,
2,6,4,103,96,86,51.5,,
2,6,4,93,87,79,46.5,,
2,6,4,76,76,75,38,,
2,6,4,74,82,86,37,,
2,5,4,56,54,52,28,,
2,5,4,52,55,58,26,,
2,6,4,63,73,81,31.5,,
2,6,4,70,78,82,35,,
2,6,4,67,72,75,33.5,,
2,6,4,49,80,106,24.5,,
2,6,4,54,70,84,27,,
2,6,4,38,77,110,19,,
2,6,4,62,73,81,31,,
2,5,4,59,52,46,29.5,,
2,6,4,77,69,61,38.5,,
2,6,4,124,77,35,62,,
2,6,4,94,84,72,47,,
2,6,4,57,77,95,28.5,,
2,6,4,66,64,63,33,,
2,6,4,77,95,107,38.5,,
2,6,4,60,85,105,30,,
2,6,4,62,69,75,31,,
2,6,4,59,68,77,29.5,,
2,6,4,79,69,59,39.5,,
2,6,4,76,74,70,38,,
2,6,4,74,85,92,37,,
2,5,4,55,54,52,27.5,,
2,6,4,52,71,88,26,,
2,6,4,71,93,108,35.5,,
2,6,4,51,93,122,25.5,,
2,6,4,58,97,122,29,,
2,6,4,40,77,109,20,,
2,6,4,90,78,64,45,,
2,6,4,80,61,45,40,,
2,5,4,78,57,40,39,,
2,5,4,71,58,47,35.5,,
2,5,4,58,55,53,29,,
2,5,4,49,60,71,24.5,,
