rI,gI,bI,rT,gT,bT
2,5,3,75,63,46
2,5,4,62,56,47
2,5,4,51,53,53
2,5,4,62,71,78
2,6,4,85,84,86
2,6,4,81,76,69
2,5,3,76,69,61
2,5,3,63,59,51
2,5,4,62,63,61
2,6,4,67,72,77
2,6,4,76,86,93
2,6,4,70,75,80
2,5,4,65,67,66
2,6,4,74,75,77
2,5,4,67,71,74
2,5,4,57,63,64
2,5,4,53,58,58
2,5,4,60,66,69
2,6,4,63,72,78
2,6,4,75,80,86
2,5,4,61,65,67
2,5,4,60,60,60
2,5,4,55,59,58
2,5,4,64,65,65
2,5,4,59,60,59
2,5,4,50,54,53
2,5,4,56,60,60
2,5,4,45,55,60
2,5,4,41,54,62
2,5,4,56,61,67
2,5,4,67,68,70
2,6,4,83,76,69
2,5,4,68,56,39
2,5,3,70,59,43
2,6,4,81,75,68
2,6,4,79,73,67
2,5,4,64,54,42
2,5,4,62,56,45
2,5,4,59,56,49
2,5,4,67,68,69
2,5,4,54,61,62
2,5,4,58,61,59
2,6,4,89,83,80
2,5,4,72,72,69
2,6,4,84,83,84
2,5,4,70,66,65
2,5,4,54,57,54
2,6,4,77,78,78
2,5,4,70,69,67
2,6,4,79,78,76
2,6,4,83,83,80
2,6,4,74,72,68
2,6,4,72,72,72
2,6,4,75,73,76
2,5,4,61,59,55
2,5,3,71,57,42
2,6,3,94,78,59
2,6,3,89,74,56
2,5,4,74,62,50
2,5,4,57,61,56
2,5,4,64,65,65
2,5,4,73,64,59
2,5,4,68,61,53
2,5,4,60,57,52
2,5,4,58,66,67
2,5,4,49,56,61
2,5,4,38,41,43
2,5,4,70,70,71
2,6,4,75,79,82
2,5,4,64,67,68
2,5,4,71,71,71
2,5,4,69,66,61
2,6,4,77,74,67
2,6,4,78,75,71
2,6,4,69,71,72
2,5,4,55,62,64
2,5,4,53,57,59
2,6,4,79,82,87
2,6,4,78,82,88
2,6,4,74,82,91
2,6,4,62,76,86
2,6,4,59,70,80
2,5,4,60,68,74
2,6,4,75,76,77
2,6,4,82,75,68
2,6,4,79,74,66
2,6,4,84,80,75
2,6,4,80,78,74
2,6,4,99,94,90
2,6,4,89,83,78
2,6,4,88,89,84
2,6,4,97,91,85
2,6,4,87,86,82
